troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t-0.2292351950940216
1tbedt"bolster"tbedt1.0t-0.16871954694455235
2tbedt"mattress cover"tbedt1.0t-0.36159370270266133
427t"mortise lock"tdoorknobtdoort0.0t0.07549590343074629
428t"mortise lock"t"threshold"tdoort0.0t-0.430198947313186
429t"mortise lock"t"weatherboard"tdoort0.0t0.12720586860501146
430t"mortise lock"tlock railtdoort0.0t0.07968367806772444
431t"mortise lock"t"shutting stile"tdoort0.0t0.955395147548096
432t"mortise lock"theadertdoort0.0t-0.5096972014867543
433t"mortise lock"tringt"mortise lock"t1.0t-0.47528711297556275
434t"mortise lock"tkeywayt"mortise lock"t1.0t-0.23178566478667834
435t"mortise lock"t"cotter pin"t"mortise lock"t1.0t0.1647273429633352
436t"mortise lock"tspringt"mortise lock"t1.0t-0.4647729462456065
437t"mortise lock"t"rotor"t"mortise lock"t1.0t-0.4619028900944145
438t"mortise lock"tcylinder caset"mortise lock"t1.0t0.09037678629745517
439t"mortise lock"tkeyt"mortise lock"t1.0t-0.5253094364159075
440t"mortise lock"t"faceplate"t"mortise lock"t1.0t-0.1366925894676007
441t"mortise lock"t"dead bolt"t"mortise lock"t1.0t0.17722802780585592
442t"mortise lock"tcylindert"mortise lock"t1.0t-0.4622696781099258
443t"mortise lock"t"stator"t"mortise lock"t1.0t-0.09692870955111768
444t"mortise lock"t"strike plate"t"mortise lock"t1.0t-0.12390270533585684
445t"mortise lock"t"valve seat shaft"t"toilet"t0.0t0.12012808882600952
446t"mortise lock"t"tank lid"t"toilet"t0.0t0.0634383911066793
447t"mortise lock"tconical washert"toilet"t0.0t-0.07584829626271879
448t"mortise lock"t"lift chain"t"toilet"t0.0t0.04928037749128662
449t"mortise lock"t"seat"t"toilet"t0.0t-0.5787997016888067
450t"mortise lock"t"shutoff valve"t"toilet"t0.0t0.17198290594895962
451t"mortise lock"t"trip lever"t"toilet"t0.0t0.03474420076493956
452t"mortise lock"tball-cock supply valvet"toilet"t0.0t-0.5590835663820013
453t"mortise lock"t"toilet bowl"t"toilet"t0.0t0.012888127106998845
454t"mortise lock"tflush handlet"toilet"t0.0t0.008854532979646982
455t"mortise lock"twax sealt"toilet"t0.0t0.0400281039028624
456t"mortise lock"t"tank ball"t"toilet"t0.0t0.055589164789247254
457t"mortise lock"t"float ball"t"toilet"t0.0t0.08010122467412534
458t"mortise lock"t"filler tube"t"toilet"t0.0t-0.015175527294985858
459t"mortise lock"t"waste pipe"t"toilet"t0.0t0.14693661838247704
460t"mortise lock"t"seat cover"t"toilet"t0.0t-0.11246213366296
461t"mortise lock"t"cold-water supply line"t"toilet"t0.0t-0.6843845075208822
462t"mortise lock"t"overflow tube"t"toilet"t0.0t-0.017354400463852816
463t"mortise lock"t"trap"t"toilet"t0.0t-0.46719652060638717
464t"mortise lock"t"refill tube"t"toilet"t0.0t-0.016706621845728426
465t"toilet"tpillowtbedt0.0t-0.20271055499050988
466t"toilet"t"bolster"tbedt0.0t0.1051639178698451
467t"toilet"t"mattress cover"tbedt0.0t0.17030450069412653
468t"toilet"tlegtbedt0.0t-0.26062599885715987
469t"toilet"tbox springtbedt0.0t0.27385777020344687
470t"toilet"theadboardtbedt0.0t0.1024242701638324
471t"toilet"t"mattress"tbedt0.0t-0.14065828477927889
472t"toilet"t"pillow protector"tbedt0.0t0.16610182079079275
473t"toilet"t"elastic"tbedt0.0t-0.16310982519875317
474t"toilet"t"footboard"tbedt0.0t0.15827865948673092
475t"toilet"t"switch"t"refrigerator"t0.0t-0.15498174047156293
476t"toilet"t"refrigerator compartment"t"refrigerator"t0.0t0.17155772176263046
477t"toilet"t"egg tray"t"refrigerator"t0.0t0.24579437813796134
478t"toilet"tshelf channelt"refrigerator"t0.0t0.19482669648904102
479t"toilet"t"magnetic gasket"t"refrigerator"t0.0t-0.01647487637644486
480t"toilet"t"storage door"t"refrigerator"t0.0t0.09143398931782333
481t"toilet"tfreezer doort"refrigerator"t0.0t0.2530693687433968
482t"toilet"tguard railt"refrigerator"t0.0t0.22600581227628402
483t"toilet"tcrispert"refrigerator"t0.0t0.1398599513720414
484t"toilet"tglass covert"refrigerator"t0.0t0.07817031914626112
485t"toilet"t"butter compartment"t"refrigerator"t0.0t0.22801505799092567
486t"toilet"t"thermostat control"t"refrigerator"t0.0t-0.06181568390445146
487t"toilet"t"freezer compartment"t"refrigerator"t0.0t0.2339336931474788
488t"toilet"t"ice cube tray"t"refrigerator"t0.0t0.30105515609635314
489t"toilet"t"meat keeper"t"refrigerator"t0.0t0.11718890801985236
490t"toilet"t"door stop"t"refrigerator"t0.0t0.2818373027916774
491t"toilet"tshelft"refrigerator"t0.0t-0.16945822040832587
492t"toilet"t"dairy compartment"t"refrigerator"t0.0t0.26168125111019663
493t"toilet"tdoor shelft"refrigerator"t0.0t0.22121972085884858
494t"toilet"tdrain hosetdishwashert0.0t0.32245499523142057
495t"toilet"t"overflow protection switch"tdishwashert0.0t0.11441862137772021
496t"toilet"t"tub"tdishwashert0.0t-0.0878911490371222
497t"toilet"tpumptdishwashert0.0t-0.11872643157476935
498t"toilet"t"gasket"tdishwashert0.0t0.0513661384381904
499t"toilet"t"water hose"tdishwashert0.0t0.17523185802331862
500t"toilet"t"heating element"tdishwashert0.0t0.125120935601088
501t"toilet"tracktdishwashert0.0t-0.19797027347300283
502t"toilet"t"cutlery basket"tdishwashert0.0t0.14860283630199247
503t"toilet"t"wash tower"tdishwashert0.0t0.2685067671364164
504t"toilet"t"motor"tdishwashert0.0t-0.13263955316773418
505t"toilet"t"detergent dispenser"tdishwashert0.0t-0.04322556972597028
506t"toilet"tslidetdishwashert0.0t-0.1357031007600145
507t"toilet"t"leveling foot"tdishwashert0.0t0.17216464216049485
508t"toilet"t"insulating material"tdishwashert0.0t0.04078201549856921
509t"toilet"tspray armtdishwashert0.0t0.19757654012720915
510t"toilet"trinse-aid dispensertdishwashert0.0t0.1286752536274434
511t"toilet"tlocktdoort0.0t-0.16501519439125753
512t"toilet"tcornicetdoort0.0t-0.04109231250159945
513t"toilet"t"hanging stile"tdoort0.0t0.40717757521080317
514t"toilet"t"entablature"tdoort0.0t0.0475686413009867
515t"toilet"t"top rail"tdoort0.0t0.1788640259060067
516t"toilet"tmiddle paneltdoort0.0t0.09878078472510612
517t"toilet"t"bottom rail"tdoort0.0t0.20462696100563904
518t"toilet"tpaneltdoort0.0t-0.13711297608347978
519t"toilet"tjambtdoort0.0t0.05534776443960801
520t"toilet"tdoorknobtdoort0.0t0.18731582642186687
521t"toilet"t"threshold"tdoort0.0t-0.15092748362230063
522t"toilet"t"weatherboard"tdoort0.0t0.24086967212637056
523t"toilet"tlock railtdoort0.0t0.17087862798757966
524t"toilet"t"shutting stile"tdoort0.0t0.430665632093552
525t"toilet"theadertdoort0.0t-0.16967035356924604
526t"toilet"tringt"mortise lock"t0.0t-0.2429073571556211
527t"toilet"tkeywayt"mortise lock"t0.0t0.002991770721554508
528t"toilet"t"cotter pin"t"mortise lock"t0.0t0.2113025770434665
529t"toilet"tspringt"mortise lock"t0.0t-0.18210894840123865
530t"toilet"t"rotor"t"mortise lock"t0.0t-0.12819449065537872
531t"toilet"tcylinder caset"mortise lock"t0.0t0.17208278841489533
532t"toilet"tkeyt"mortise lock"t0.0t-0.1775428434621575
533t"toilet"t"faceplate"t"mortise lock"t0.0t0.08319483102438893
534t"toilet"t"dead bolt"t"mortise lock"t0.0t0.2802777811797745
535t"toilet"tcylindert"mortise lock"t0.0t-0.19317409514637457
536t"toilet"t"stator"t"mortise lock"t0.0t0.16026473100528937
537t"toilet"t"strike plate"t"mortise lock"t0.0t0.08460892839388472
538t"toilet"t"valve seat shaft"t"toilet"t1.0t0.1991968624343166
539t"toilet"t"tank lid"t"toilet"t1.0t0.21270720311948194
540t"toilet"tconical washert"toilet"t1.0t0.18973258776744717
541t"toilet"t"lift chain"t"toilet"t1.0t0.13104706755351297
542t"toilet"t"seat"t"toilet"t1.0t-0.2519999162006887
543t"toilet"t"shutoff valve"t"toilet"t1.0t0.18850269437011102
544t"toilet"t"trip lever"t"toilet"t1.0t0.18643469763114873
545t"toilet"tball-cock supply valvet"toilet"t1.0t0.03881732686758638
546t"toilet"t"toilet bowl"t"toilet"t1.0t0.09911243002096784
547t"toilet"tflush handlet"toilet"t1.0t0.17539962228904654
548t"toilet"twax sealt"toilet"t1.0t0.18097406808435468
549t"toilet"t"tank ball"t"toilet"t1.0t0.08286098156799912
550t"toilet"t"float ball"t"toilet"t1.0t0.08505084093266527
551t"toilet"t"filler tube"t"toilet"t1.0t0.20186731965683688
552t"toilet"t"waste pipe"t"toilet"t1.0t0.22132416958712475
553t"toilet"t"seat cover"t"toilet"t1.0t0.14400771830512699
554t"toilet"t"cold-water supply line"t"toilet"t1.0t0.038595031039296394
555t"toilet"t"overflow tube"t"toilet"t1.0t0.23536546235189573
556t"toilet"t"trap"t"toilet"t1.0t-0.18204580235630377
557t"toilet"t"refill tube"t"toilet"t1.0t0.2178498584024489
