troomt"object"t"subset"t"dataset_prob"tscore
0tbedtpillowtbedt1.0t-0.1101388663803766
1tbedt"bolster"tbedt1.0t-0.17150933941336932
2tbedt"mattress cover"tbedt1.0t-0.12421508496361376
424t"mortise lock"t"bottom rail"tdoort0.0t0.16137862070789283
425t"mortise lock"tpaneltdoort0.0t-0.19475601243099466
426t"mortise lock"tjambtdoort0.0t0.026136865005530512
427t"mortise lock"tdoorknobtdoort0.0t0.31986056166090865
428t"mortise lock"t"threshold"tdoort0.0t-0.055736357185056436
429t"mortise lock"t"weatherboard"tdoort0.0t0.07671367573500679
430t"mortise lock"tlock railtdoort0.0t0.16137862070789283
431t"mortise lock"t"shutting stile"tdoort0.0t-0.040164991291666036
432t"mortise lock"theadertdoort0.0t-0.049938705815098766
433t"mortise lock"tringt"mortise lock"t1.0t0.40606271480811035
434t"mortise lock"tkeywayt"mortise lock"t1.0t-0.6840438748011539
435t"mortise lock"t"cotter pin"t"mortise lock"t1.0t-0.27989268859176725
436t"mortise lock"tspringt"mortise lock"t1.0t-0.03209978967559906
437t"mortise lock"t"rotor"t"mortise lock"t1.0t-0.1561925235068867
438t"mortise lock"tcylinder caset"mortise lock"t1.0t0.3421028101602553
439t"mortise lock"tkeyt"mortise lock"t1.0t-0.04377328029753609
440t"mortise lock"t"faceplate"t"mortise lock"t1.0t-0.10624029189766697
441t"mortise lock"t"dead bolt"t"mortise lock"t1.0t-0.062094381847302635
442t"mortise lock"tcylindert"mortise lock"t1.0t-0.07487375761784168
443t"mortise lock"t"stator"t"mortise lock"t1.0t0.21998421443784827
444t"mortise lock"t"strike plate"t"mortise lock"t1.0t-0.4103223879088151
445t"mortise lock"t"valve seat shaft"t"toilet"t0.0t0.05318270606170152
446t"mortise lock"t"tank lid"t"toilet"t0.0t-0.15646384747951247
447t"mortise lock"tconical washert"toilet"t0.0t0.22091550070315125
448t"mortise lock"t"lift chain"t"toilet"t0.0t-0.2518316634170678
449t"mortise lock"t"seat"t"toilet"t0.0t0.337638214878124
450t"mortise lock"t"shutoff valve"t"toilet"t0.0t-0.0031896791326524836
451t"mortise lock"t"trip lever"t"toilet"t0.0t0.21501639362361022
452t"mortise lock"tball-cock supply valvet"toilet"t0.0t-0.0031896791326524836
453t"mortise lock"t"toilet bowl"t"toilet"t0.0t0.19023504424058374
454t"mortise lock"tflush handlet"toilet"t0.0t0.037012898819250385
455t"mortise lock"twax sealt"toilet"t0.0t-0.1328611877941928
456t"mortise lock"t"tank ball"t"toilet"t0.0t0.07863917497494123
457t"mortise lock"t"float ball"t"toilet"t0.0t0.07863917497494123
458t"mortise lock"t"filler tube"t"toilet"t0.0t-0.02354538409555457
459t"mortise lock"t"waste pipe"t"toilet"t0.0t-0.20414574513570252
460t"mortise lock"t"seat cover"t"toilet"t0.0t0.10552414469605373
461t"mortise lock"t"cold-water supply line"t"toilet"t0.0t-0.16584614125721103
462t"mortise lock"t"overflow tube"t"toilet"t0.0t-0.02354538409555457
463t"mortise lock"t"trap"t"toilet"t0.0t0.055229156642091624
464t"mortise lock"t"refill tube"t"toilet"t0.0t-0.02354538409555457
465t"toilet"tpillowtbedt0.0t-0.09970596774723038
466t"toilet"t"bolster"tbedt0.0t-0.17241206683245097
467t"toilet"t"mattress cover"tbedt0.0t-0.13289345671332797
468t"toilet"tlegtbedt0.0t0.38036585696043784
469t"toilet"tbox springtbedt0.0t0.22010290208281202
470t"toilet"theadboardtbedt0.0t-0.3889272296906374
471t"toilet"t"mattress"tbedt0.0t0.09201170650391864
472t"toilet"t"pillow protector"tbedt0.0t-0.01243427992954416
473t"toilet"t"elastic"tbedt0.0t-0.1810682894641326
474t"toilet"t"footboard"tbedt0.0t-0.3889272296906374
475t"toilet"t"switch"t"refrigerator"t0.0t-0.07442015035854317
476t"toilet"t"refrigerator compartment"t"refrigerator"t0.0t-0.1499256092608069
477t"toilet"t"egg tray"t"refrigerator"t0.0t-0.19395664613976293
478t"toilet"tshelf channelt"refrigerator"t0.0t-0.4653608499680935
479t"toilet"t"magnetic gasket"t"refrigerator"t0.0t0.08758992974638713
480t"toilet"t"storage door"t"refrigerator"t0.0t-0.096436907034901
481t"toilet"tfreezer doort"refrigerator"t0.0t-0.096436907034901
482t"toilet"tguard railt"refrigerator"t0.0t-0.30279384440969437
483t"toilet"tcrispert"refrigerator"t0.0t-0.29410213425637616
484t"toilet"tglass covert"refrigerator"t0.0t-0.13289345671332797
485t"toilet"t"butter compartment"t"refrigerator"t0.0t-0.1499256092608069
486t"toilet"t"thermostat control"t"refrigerator"t0.0t-0.15256183134310755
487t"toilet"t"freezer compartment"t"refrigerator"t0.0t-0.1499256092608069
488t"toilet"t"ice cube tray"t"refrigerator"t0.0t-0.19395664613976293
489t"toilet"t"meat keeper"t"refrigerator"t0.0t-0.1709111070116015
490t"toilet"t"door stop"t"refrigerator"t0.0t-0.31180235594766814
491t"toilet"tshelft"refrigerator"t0.0t-0.4367305490146437
492t"toilet"t"dairy compartment"t"refrigerator"t0.0t-0.1499256092608069
493t"toilet"tdoor shelft"refrigerator"t0.0t-0.4367305490146437
494t"toilet"tdrain hosetdishwashert0.0t0.06499629427563784
495t"toilet"t"overflow protection switch"tdishwashert0.0t-0.07442015035854317
496t"toilet"t"tub"tdishwashert0.0t-0.11023868574006339
497t"toilet"tpumptdishwashert0.0t-0.15462319103154137
498t"toilet"t"gasket"tdishwashert0.0t0.08758992974638713
499t"toilet"t"water hose"tdishwashert0.0t0.06499629427563784
500t"toilet"t"heating element"tdishwashert0.0t-0.11086635164975009
501t"toilet"tracktdishwashert0.0t-0.28463951811648386
502t"toilet"t"cutlery basket"tdishwashert0.0t0.17177153368837303
503t"toilet"t"wash tower"tdishwashert0.0t-0.2924367350030268
504t"toilet"t"motor"tdishwashert0.0t-0.31118238511193275
505t"toilet"t"detergent dispenser"tdishwashert0.0t-0.12655491914165926
506t"toilet"tslidetdishwashert0.0t0.11618710060415435
507t"toilet"t"leveling foot"tdishwashert0.0t-0.02016355803801668
508t"toilet"t"insulating material"tdishwashert0.0t-0.2724076693720294
509t"toilet"tspray armtdishwashert0.0t0.0748420511358869
510t"toilet"trinse-aid dispensertdishwashert0.0t-0.12655491914165926
511t"toilet"tlocktdoort0.0t0.09583202705608154
512t"toilet"tcornicetdoort0.0t0.06221874568926832
513t"toilet"t"hanging stile"tdoort0.0t0.021031962776641083
514t"toilet"t"entablature"tdoort0.0t-0.2752567973367535
515t"toilet"t"top rail"tdoort0.0t-0.30279384440969437
516t"toilet"tmiddle paneltdoort0.0t-0.27563825022495614
517t"toilet"t"bottom rail"tdoort0.0t-0.30279384440969437
518t"toilet"tpaneltdoort0.0t-0.27563825022495614
519t"toilet"tjambtdoort0.0t-0.11526986791998257
520t"toilet"tdoorknobtdoort0.0t-0.5802444274704361
521t"toilet"t"threshold"tdoort0.0t-0.2964385219927723
522t"toilet"t"weatherboard"tdoort0.0t-0.3889272296906374
523t"toilet"tlock railtdoort0.0t-0.30279384440969437
524t"toilet"t"shutting stile"tdoort0.0t0.021031962776641083
525t"toilet"theadertdoort0.0t-0.18041800433939856
526t"toilet"tringt"mortise lock"t0.0t-0.4204119941120799
527t"toilet"tkeywayt"mortise lock"t0.0t0.2455668167073958
528t"toilet"t"cotter pin"t"mortise lock"t0.0t-0.08449250659544992
529t"toilet"tspringt"mortise lock"t0.0t0.22010290208281202
530t"toilet"t"rotor"t"mortise lock"t0.0t-0.02943408350658643
531t"toilet"tcylinder caset"mortise lock"t0.0t-0.24354337780546723
532t"toilet"tkeyt"mortise lock"t0.0t0.25956183081777257
533t"toilet"t"faceplate"t"mortise lock"t0.0t0.0012457083126339353
534t"toilet"t"dead bolt"t"mortise lock"t0.0t-0.28962787705011966
535t"toilet"tcylindert"mortise lock"t0.0t0.3358463555238787
536t"toilet"t"stator"t"mortise lock"t0.0t-0.11446846104838446
537t"toilet"t"strike plate"t"mortise lock"t0.0t0.09051278160087016
538t"toilet"t"valve seat shaft"t"toilet"t1.0t-0.1671002282702235
539t"toilet"t"tank lid"t"toilet"t1.0t-0.0327748382077386
540t"toilet"tconical washert"toilet"t1.0t-0.29410213425637616
541t"toilet"t"lift chain"t"toilet"t1.0t-0.40627186273363847
542t"toilet"t"seat"t"toilet"t1.0t-0.3067985398263407
543t"toilet"t"shutoff valve"t"toilet"t1.0t-0.3278435732273854
544t"toilet"t"trip lever"t"toilet"t1.0t0.00901094712931265
545t"toilet"tball-cock supply valvet"toilet"t1.0t-0.3278435732273854
546t"toilet"t"toilet bowl"t"toilet"t1.0t-0.25793386663959134
547t"toilet"tflush handlet"toilet"t1.0t-0.1424912098913547
548t"toilet"twax sealt"toilet"t1.0t-0.3501856935364711
549t"toilet"t"tank ball"t"toilet"t1.0t0.16913611293971337
550t"toilet"t"float ball"t"toilet"t1.0t0.16913611293971337
551t"toilet"t"filler tube"t"toilet"t1.0t-0.26571873737347
552t"toilet"t"waste pipe"t"toilet"t1.0t-0.017121447504871996
553t"toilet"t"seat cover"t"toilet"t1.0t-0.13289345671332797
554t"toilet"t"cold-water supply line"t"toilet"t1.0t-0.16075507341022138
555t"toilet"t"overflow tube"t"toilet"t1.0t-0.26571873737347
556t"toilet"t"trap"t"toilet"t1.0t0.19089653328676434
557t"toilet"t"refill tube"t"toilet"t1.0t-0.26571873737347
